x,y,z,intensity,beamNumber
-45.283092,-3.7149103,-0.40183887,12.0,27.0
-41.591255,-1.8924942,-0.34934795,5.0,28.0
-41.12677,-0.37737805,-0.46449226,5.0,29.0
-40.02076,1.0871313,-0.5386004,4.0,30.0
-36.765083,2.3392313,-0.46002933,3.0,31.0
-34.04809,3.4132018,-0.4014726,3.0,32.0
-34.803074,-2.8530014,-0.45939076,6.0,33.0
-32.25062,-1.4650016,-0.3892606,4.0,34.0
-30.497326,-0.2753202,-0.36232176,5.0,35.0
-28.950064,0.791925,-0.34364977,4.0,36.0
-27.412035,1.7487509,-0.31458804,7.0,37.0
-26.16208,2.6263387,-0.3063583,6.0,38.0
-26.26454,-2.147566,-0.3180898,5.0,39.0
-24.997616,-1.1309756,-0.29051635,4.0,40.0
-24.12801,-0.21402459,-0.29171428,4.0,41.0
-23.158384,0.6369313,-0.28120926,4.0,42.0
-22.240143,1.4217869,-0.26863483,5.0,43.0
-21.443047,2.1552465,-0.26837245,4.0,44.0
-21.510324,-1.7554139,-0.276517,5.0,45.0
-20.62405,-0.92988604,-0.25145808,4.0,46.0
-20.101591,-0.17548989,-0.26130998,3.0,47.0
-19.349588,0.534929,-0.24537386,3.0,48.0
-18.641628,1.1943985,-0.22842167,5.0,49.0
-18.11351,1.8229423,-0.23521289,10.0,50.0
-18.195318,-1.4819419,-0.24557428,3.0,51.0
-17.620438,-0.791916,-0.23284653,3.0,52.0
-17.08437,-0.14634694,-0.2207777,4.0,53.0
-15.005349,-0.12657833,-0.21363346,4.0,54.0
-13.24035,-0.10945096,-0.18463433,4.0,55.0
-11.87057,-0.09624869,-0.16811323,10.0,56.0
-10.7868,-0.08538721,-0.12737033,4.0,57.0
-9.86301,-0.07694735,-0.14709301,4.0,58.0
-9.10513,-0.069691055,-0.14116868,3.0,59.0
-8.435941,-0.06321233,-0.13117439,4.0,60.0
-7.8319993,-0.05725135,-0.11457121,4.0,61.0
-5.694675,-0.036282998,-0.06428519,5.0,62.0
-45.283092,-3.7149103,-0.40183887,12.0,27.0
-41.591255,-1.8924942,-0.34934795,5.0,28.0
-41.12677,-0.37737805,-0.46449226,5.0,29.0
-40.02076,1.0871313,-0.5386004,4.0,30.0
-36.765083,2.3392313,-0.46002933,3.0,31.0
-34.04809,3.4132018,-0.4014726,3.0,32.0
-34.803074,-2.8530014,-0.45939076,6.0,33.0
-32.25062,-1.4650016,-0.3892606,4.0,34.0
-30.497326,-0.2753202,-0.36232176,5.0,35.0
-28.950064,0.791925,-0.34364977,4.0,36.0
-27.412035,1.7487509,-0.31458804,7.0,37.0
-26.16208,2.6263387,-0.3063583,6.0,38.0
-26.26454,-2.147566,-0.3180898,5.0,39.0
-24.997616,-1.1309756,-0.29051635,4.0,40.0
-24.12801,-0.21402459,-0.29171428,4.0,41.0
-23.158384,0.6369313,-0.28120926,4.0,42.0
-22.240143,1.4217869,-0.26863483,5.0,43.0
-21.443047,2.1552465,-0.26837245,4.0,44.0
-21.510324,-1.7554139,-0.276517,5.0,45.0
-20.62405,-0.92988604,-0.25145808,4.0,46.0
-20.101591,-0.17548989,-0.26130998,3.0,47.0
-19.349588,0.534929,-0.24537386,3.0,48.0
-18.641628,1.1943985,-0.22842167,5.0,49.0
-18.11351,1.8229423,-0.23521289,10.0,50.0
-18.195318,-1.4819419,-0.24557428,3.0,51.0
-17.620438,-0.791916,-0.23284653,3.0,52.0
-17.08437,-0.14634694,-0.2207777,4.0,53.0
-15.005349,-0.12657833,-0.21363346,4.0,54.0
-13.24035,-0.10945096,-0.18463433,4.0,55.0
-11.87057,-0.09624869,-0.16811323,10.0,56.0
-10.7868,-0.08538721,-0.12737033,4.0,57.0
-9.86301,-0.07694735,-0.14709301,4.0,58.0
-9.10513,-0.069691055,-0.14116868,3.0,59.0
-8.435941,-0.06321233,-0.13117439,4.0,60.0
-7.8319993,-0.05725135,-0.11457121,4.0,61.0
-5.694675,-0.036282998,-0.06428519,5.0,62.0
-45.248043,-3.5531356,-0.4019611,15.0,27.0
-41.331497,-0.23532736,-0.47894996,5.0,29.0
-40.188335,1.2317837,-0.55153155,6.0,30.0
-36.589485,2.456413,-0.45040447,0.0,31.0
-33.91297,3.5193007,-0.3941389,3.0,32.0
-34.737286,-2.7255533,-0.45606205,7.0,33.0
-32.30739,-1.3547765,-0.39493012,4.0,34.0
-30.45428,-0.16865401,-0.36048493,6.0,35.0
-28.911304,0.8918219,-0.3421308,4.0,36.0
-27.401838,1.8440614,-0.315492,6.0,37.0
-26.13299,2.7155144,-0.30568913,5.0,38.0
-26.275892,-2.056293,-0.3199969,4.0,39.0
-24.98952,-1.0432894,-0.29080328,4.0,40.0
-24.096806,-0.12966523,-0.28991818,4.0,41.0
-23.108328,0.71628034,-0.2775868,5.0,42.0
-22.227156,1.4987917,-0.26882458,4.0,43.0
-21.419617,2.2283685,-0.26757777,4.0,44.0
-21.508438,-1.6797762,-0.27694082,5.0,45.0
-20.60736,-0.85711133,-0.25041467,5.0,46.0
-20.070337,-0.10517378,-0.25874406,3.0,47.0
-19.307945,0.60122937,-0.24165782,4.0,48.0
-18.629475,1.2588484,-0.22830836,4.0,49.0
-18.11104,1.8864661,-0.23646432,10.0,50.0
-18.176691,-1.416593,-0.24368739,4.0,51.0
-17.531979,-0.7264535,-0.22214279,4.0,52.0
-17.064999,-0.08664837,-0.21906199,5.0,53.0
-15.001797,-0.07425907,-0.21382606,4.0,54.0
